Customer ID,Item_Purchased,Category,Purchase_Amount (USD),Size,Color
1,Blouse,Clothing,53,L,Gray
2,Sweater,Clothing,64,L,Maroon
3,Jeans,Clothing,73,S,Maroon
4,Sandals,Footwear,90,M,Maroon
5,Blouse,Clothing,49,M,Turquoise
6,Sneakers,Footwear,20,M,White
7,Shirt,Clothing,85,M,Gray
8,Shorts,Clothing,34,L,Charcoal
9,Coat,Outerwear,97,L,Silver
10,Handbag,Accessories,31,M,Pink
11,Shoes,Footwear,34,L,Purple
12,Shorts,Clothing,68,S,Olive
13,Coat,Outerwear,72,M,Gold
14,Dress,Clothing,51,M,Violet
15,Coat,Outerwear,53,L,Teal
16,Skirt,Clothing,81,M,Teal
17,Sunglasses,Accessories,36,S,Gray
18,Dress,Clothing,38,XL,Lavender
19,Sweater,Clothing,48,S,Black
20,Pants,Clothing,90,M,Green
21,Pants,Clothing,51,M,Black
22,Pants,Clothing,62,M,Charcoal
23,Pants,Clothing,37,M,Peach
24,Pants,Clothing,88,XL,White
25,Jacket,Outerwear,22,M,Green
26,Hoodie,Clothing,25,M,Silver
27,Jewelry,Accessories,20,M,Red
28,Shorts,Clothing,56,L,Cyan
29,Handbag,Accessories,94,M,Gray
30,Dress,Clothing,48,S,Black
31,Jewelry,Accessories,31,L,Black
32,Dress,Clothing,79,L,Brown
33,Jacket,Outerwear,67,M,Silver
34,Pants,Clothing,38,L,Green
35,T-shirt,Clothing,91,L,Violet
36,Blouse,Clothing,33,M,Cyan
37,T-shirt,Clothing,69,M,Maroon
38,Jeans,Clothing,45,S,Cyan
39,Dress,Clothing,37,M,Red
40,Pants,Clothing,60,S,Turquoise
41,Handbag,Accessories,76,L,Beige
42,Scarf,Accessories,39,M,Orange
43,Coat,Outerwear,100,M,Beige
44,Scarf,Accessories,69,L,Lavender
45,Hat,Accessories,53,S,Silver
46,Socks,Clothing,21,XL,Indigo
47,Shirt,Clothing,43,L,White
48,Jewelry,Accessories,54,M,Charcoal
49,Shirt,Clothing,55,M,Orange
50,Hoodie,Clothing,30,S,Indigo
51,Blouse,Clothing,28,M,Red
52,Skirt,Clothing,59,XL,Gray
53,T-shirt,Clothing,20,M,Green
54,Skirt,Clothing,24,S,Peach
55,Coat,Outerwear,94,M,Brown
56,Jacket,Outerwear,28,M,Lavender
57,Backpack,Accessories,73,XL,Brown
58,Coat,Outerwear,64,M,White
59,Hoodie,Clothing,54,M,Charcoal
60,Belt,Accessories,79,L,Yellow
61,Sweater,Clothing,37,L,Brown
62,Scarf,Accessories,68,M,Orange
63,Sneakers,Footwear,21,S,Magenta
64,Sunglasses,Accessories,79,L,Lavender
65,Boots,Footwear,83,S,Green
66,Backpack,Accessories,36,M,Purple
67,Blouse,Clothing,94,S,Magenta
68,Coat,Outerwear,33,L,Gray
69,Handbag,Accessories,46,L,Silver
70,Belt,Accessories,70,S,Cyan
71,Belt,Accessories,29,M,Magenta
72,Dress,Clothing,48,L,Gold
73,Dress,Clothing,26,M,Olive
74,Pants,Clothing,85,M,Teal
75,Gloves,Accessories,58,L,Violet
76,Scarf,Accessories,85,M,Blue
77,Hat,Accessories,43,S,Teal
78,Dress,Clothing,53,L,Gold
79,Skirt,Clothing,91,M,Maroon
80,Jacket,Outerwear,96,M,Olive
81,Sandals,Footwear,72,XL,Blue
82,Shoes,Footwear,96,L,Maroon
83,Pants,Clothing,28,S,Olive
84,Dress,Clothing,40,M,Turquoise
85,Coat,Outerwear,32,S,Peach
86,Sunglasses,Accessories,95,M,Charcoal
87,Hoodie,Clothing,41,L,Pink
88,Shoes,Footwear,53,M,Green
89,T-shirt,Clothing,47,M,Orange
90,Jacket,Outerwear,83,XL,Pink
91,Hat,Accessories,48,L,Violet
92,Scarf,Accessories,99,S,Green
93,Jacket,Outerwear,87,M,Olive
94,Sweater,Clothing,62,M,Purple
